months,h0,h3,h6,h9,h12,h15,h18,h21
Jan,0,0,0.0072,0.223,0.4676,0.2878,0.0144,0
Feb,0,0,0.0064,0.2229,0.4522,0.2994,0.0191,0
Mar,0,0,0.0111,0.2389,0.4333,0.2944,0.0222,0
Apr,0,0,0.0213,0.2553,0.4096,0.2872,0.0266,0
May,0,0,0.0337,0.264,0.3989,0.2753,0.0281,0
Jun,0,0,0.037,0.2741,0.3852,0.2667,0.037,0
Jul,0,0,0.0317,0.2698,0.3809,0.2778,0.0397,0
Aug,0,0,0.0238,0.2778,0.3809,0.2857,0.0317,0
Sep,0,0,0.0244,0.2927,0.4065,0.2602,0.0163,0
Oct,0,0,0.0216,0.295,0.4316,0.2446,0.0072,0
Nov,0,0,0.0147,0.2794,0.4559,0.2426,0.0074,0
Dec,0,0,0.0074,0.25,0.4706,0.2647,0.0074,0
